year,category,performer,song,place_contest,pts_orch_fin,pts_tele_fin,perc_tele_supfin,youtube_url_studio,youtube_url_live,start
2017,Big Artists,Ermal Meta,Vietato morire,3,,,,https://www.youtube.com/watch?v=4WMejmcT9ZY,,00:01:03
2017,Big Artists,Michele Bravi,Il diaro degli errori,4,,,,https://www.youtube.com/watch?v=YutJUzSVLbo,https://www.youtube.com/watch?v=_FWQ1hSL5IM,00:00:57
2017,Big Artists,Paola Turci,Fatti bella per te,5,,,,https://www.youtube.com/watch?v=0QgkhtuE-Rg,,00:00:55
2017,Big Artists,Sergio Sylvestre,Con te,6,,,,https://www.youtube.com/watch?v=hFC80tUPbb8,,00:00:50
2017,Big Artists,Fabrizio Moro,Portami via,7,,,,https://www.youtube.com/watch?v=h9dHy-BYDoQ,,00:00:44
2017,Big Artists,Elodie,Tutta colpa mia,8,,,,https://www.youtube.com/watch?v=7s_NNYdUo_8,,00:00:43
2017,Big Artists,Bianca Atzei,Ora esisti solo tu,9,,,,https://www.youtube.com/watch?v=Z_3IjJwVV9o,,00:00:58
2017,Big Artists,Samuel,Vedrai,10,,,,https://www.youtube.com/watch?v=L80A_nr9MFk,,00:01:01
2017,Big Artists,Michele Zarrillo,Mani nelle mani,11,,,,https://www.youtube.com/watch?v=iIJZkISAwKg,,00:00:54
2017,Big Artists,Lodovica Comello,Il cielo non mi basta,12,,,,https://www.youtube.com/watch?v=ZIcrSGr5x6M,,00:00:42
2017,Big Artists,Marco Masini,Spostato di un secondo,13,,,,https://www.youtube.com/watch?v=plQx9wqMubU,,00:00:57
2017,Big Artists,Chiara Galiazzo,Nessun posto è casa mia,14,,,,https://www.youtube.com/watch?v=YaNHB6vkRfk,,00:00:51
2017,Big Artists,Alessio Bernabei,Nel mezzo di un applauso,15,,,,https://www.youtube.com/watch?v=IkMPRh59UcU,,00:01:01
2017,Big Artists,Clementino,Ragazzi fuori,16,,,,https://www.youtube.com/watch?v=M5sBxJbl6hc,,00:01:11
2017,Big Artists,Al Bano,Di rose e di spine,17,,,,https://www.youtube.com/watch?v=cZHkcqo5Qqo,,00:00:57
2017,Big Artists,Gigi D'Alessio,La prima stella,18,,,,https://www.youtube.com/watch?v=A4nmmrwvBj8,,00:00:56
2017,Big Artists,Ron,L'ottava meraviglia,19,,,,https://www.youtube.com/watch?v=uvEjqYkkUgg,https://www.youtube.com/watch?v=rf0hhjN9GI0,00:00:57
2017,Big Artists,Giusy Ferreri,Fa talmente male,20,,,,https://www.youtube.com/watch?v=mw8CGo_bHOY,,00:00:54
2017,Big Artists,Nesli feat. Alice Paba,Do retta a te,21,,,,https://www.youtube.com/watch?v=dIh44qCd3-4,,00:00:58
2017,Big Artists,Raige feat. Giulia Luzi,Togliamoci la voglia,22,,,,https://www.youtube.com/watch?v=skeeKjLm3mg,,00:00:46


2018,Big Artists,Ermal Meta & Fabrizio Moro,Non mi avete fatto niente,1,,,,https://www.youtube.com/watch?v=V4zO_1Z_1S8,https://youtube.com/watch?v=uOhBQbdz6A4,00:00:48
2018,Big Artists,Lo Stato Sociale,Una vita in vacanza,2,,,,https://www.youtube.com/watch?v=eUZdR0G20Qs,,00:01:00
2018,Big Artists,Annalisa,Il mondo prima di te,3,,,,https://www.youtube.com/watch?v=fZGGmO9dXxs,,00:01:04
2018,Big Artists,Ron,Almeno pensami,4,,,,https://www.youtube.com/watch?v=HGDzmbd2nzA,,00:00:49
2018,Big Artists,Ornella Vanoni ft. Bungaro & Pacifico,Imparare ad amarsi,5,,,,https://www.youtube.com/watch?v=ZhweM3V3L_o,,00:00:56
2018,Big Artists,Max Gazzè,La leggenda di Cristalda e Pizzomunno,6,,,,https://www.youtube.com/watch?v=hdOw1na3m4c,,00:01:22
2018,Big Artists,Luca Barbarossa,Passame er sale,7,,,,https://www.youtube.com/watch?v=mjJ4QrY1__U,,00:01:12
2018,Big Artists,Diodato & Roy Paci,Adesso,8,,,,https://www.youtube.com/watch?v=_xQdgjq5P6s,,00:01:18
2018,Big Artists,The Kolors,Frida,9,,,,https://www.youtube.com/watch?v=ykenKILgiLs,,00:00:45
2018,Big Artists,Giovanni Caccamo,Eterno,10,,,,https://www.youtube.com/watch?v=pFQGg5qa4jc,,00:01:01
2018,Big Artists,Le Vibrazioni,Così sbagliato,11,,,,https://www.youtube.com/watch?v=uABuVnnPlCM,,00:00:51
2018,Big Artists,Enzo Avitabile ft. Peppe Servillo,Il coraggio di ogni giorno,12,,,,https://www.youtube.com/watch?v=1PqzlVIRSwM,,00:00:44
2018,Big Artists,Renzo Rubino,Custodire,13,,,,https://www.youtube.com/watch?v=CXMjXcZD2G0,,00:00:51
2018,Big Artists,Noemi,Non smettere mai di cercarmi,14,,,,https://www.youtube.com/watch?v=_uHZiJ8Ma9Y,,00:00:47
2018,Big Artists,Red Canzian,Ognuno ha il suo racconto,15,,,,https://www.youtube.com/watch?v=DvCqTKogxzk,,00:00:51
2018,Big Artists,Decibel,Lettera dal Duca,16,,,,https://www.youtube.com/watch?v=A2gaV6AvzQ8,,00:00:55
2018,Big Artists,Nina Zilli,Senza appartenere,17,,,,https://www.youtube.com/watch?v=THQfndUfu9Q,,00:00:41
2018,Big Artists,Roby Facchinetti & Riccardo Fogli,Il segreto del tempo,18,,,,https://www.youtube.com/watch?v=4EcWyHz2dus,,00:01:11
2018,Big Artists,Mario Biondi,Rivederti,19,,,,https://www.youtube.com/watch?v=w3_c2IU0EHc,,00:00:39
2018,Big Artists,Elio e le Storie Tese,Arrivedorci,20,,,,https://www.youtube.com/watch?v=cMcY8CwD2hY,,00:01:00


2019,Big Artists,Mahmood,Soldi,1,,,,https://www.youtube.com/watch?v=22lISUXgSUw,,00:00:50
2019,Big Artists,Ultimo,I tuoi particolari,2,,,,https://www.youtube.com/watch?v=q2izsbwDEsk,,00:01:31
2019,Big Artists,Il volo,Musica che resta,3,,,,https://www.youtube.com/watch?v=6NaPnoAIPSM,,00:00:52
